step,n_cumulative,t_seconds,t_years,telomere,centriolar,mito,epigenetic,proteostasis,tissue_load,edc_exposure,edc_target
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,thyroid
1,1.0,604800.0,0.019164955509924708,0.00004416495550992471,0.00042241878586847786,0.0082,0.0001778507871321013,0.00024848562628336756,0.0021614340414889696,0.8,thyroid
2,2.0,1209600.0,0.038329911019849415,0.0000966541538329911,0.0008695264971305218,0.016400426336413417,0.0003803015742642026,0.0005135711858316222,0.0043341232500723964,0.8,thyroid
3,3.0,1814400.0,0.057494866529774126,0.00015747632127224504,0.001341336712795372,0.024601320209173515,0.0006073536404055442,0.0007952862934389974,0.006518085927486545,0.8,thyroid
4,4.0,2419200.0,0.07665982203969883,0.00022664024013806277,0.0018378631361115733,0.03280272284910736,0.000859008388165166,0.0010936606519417536,0.008713340445362172,0.8,thyroid
5,5.0,3024000.0,0.09582477754962354,0.00030415474882306573,0.002359119594721456,0.04100467551814747,0.0011352673438445894,0.00140872405243157,0.010919905245358083,0.8,thyroid
6,6.0,3628800.0,0.11498973305954825,0.00039002874187735366,0.0029051200408162984,0.049207219509543744,0.0014361321575311332,0.0017405063744694886,0.013137798839295126,0.8,thyroid
7,7.0,4233600.0,0.13415468856947296,0.00048427117008405685,0.0034758785512921733,0.05741039614807575,0.0017616046031918658,0.0020890375863004134,0.015367039809290599,0.8,thyroid
8,8.0,4838400.0,0.15331964407939766,0.0005868910405352075,0.004071409327906474,0.06561424679026524,0.002111686578768194,0.0024543477450681664,0.017607646807893087,0.8,thyroid
9,9.0,5443200.0,0.17248459958932238,0.0006978974167079316,0.0046917266974351324,0.07381881282458908,0.002486380106271091,0.0028364669970311,0.019859638558217728,0.8,thyroid
10,10.0,6048000.0,0.19164955509924708,0.0008172994185409609,0.005336845111830513,0.08202413567169238,0.0028856873318769596,0.003235425577778271,0.022123033854081903,0.8,thyroid
11,11.0,6652800.0,0.2108145106091718,0.0009451062225114671,0.0060067791483800065,0.09023025678460203,0.003309610526024138,0.003651253812446171,0.02439785156014133,0.8,thyroid
12,12.0,7257600.0,0.2299794661190965,0.001081327061712217,0.006701543509865303,0.0984372176489405,0.0037581520835100455,0.004083982115936022,0.026684110612026652,0.8,thyroid
13,13.0,7862400.0,0.24914442162902123,0.0012259712259290502,0.007421153024722357,0.10664505978313996,0.004231314523588968,0.004533640993131637,0.028981830016480352,0.8,thyroid
14,14.0,8467200.0,0.2683093771389459,0.0013790480617186806,0.00816562264720205,0.11485382473865668,0.004729100490070489,0.005000261039117838,0.03129102885149421,0.8,thyroid
15,15.0,9072000.0,0.2874743326488706,0.001540566972486821,0.008934967457531532,0.12306355410018588,0.005251512751418561,0.005483872939399449,0.03361172626644708,0.8,thyroid
16,16.0,9676800.0,0.3066392881587953,0.0017105374185666313,0.009729202662076277,0.1312742894858767,0.00579855420085122,0.00598450747012085,0.035943941482243225,0.8,thyroid
17,17.0,10281600.0,0.3258042436687201,0.0018889689172974932,0.010548343593502811,0.13948607254754766,0.006370227856440952,0.006502195498286106,0.03828769379145095,0.8,thyroid
18,18.0,10886400.0,0.34496919917864477,0.002075871043104109,0.011392405710942152,0.14769894497090238,0.006966536861215697,0.007036967981979658,0.04064300255844177,0.8,thyroid
19,19.0,11491200.0,0.36413415468856947,0.0022712534275759256,0.012261404600153944,0.15591294847574558,0.007587484483260505,0.007588855970587598,0.043009887219529995,0.8,thyroid
20,20.0,12096000.0,0.38329911019849416,0.0024751257595468897,0.013155355973691288,0.16412812481619943,0.008233074115819843,0.008157890605019506,0.04538836728311267,0.8,thyroid
21,21.0,12700800.0,0.4024640657084189,0.0026874977851755236,0.014074275671066274,0.17234451578092028,0.008903309277400543,0.008744103117930866,0.047778462329810076,0.8,thyroid
22,22.0,13305600.0,0.4216290212183436,0.002908379308025334,0.015018179658916213,0.1805621631933156,0.009598193611875406,0.009347524833946063,0.050180192012606574,0.8,thyroid
23,23.0,13910400.0,0.4407939767282683,0.0031377801891455475,0.015987084031170575,0.18878110891176142,0.010317730888587454,0.009968187169881949,0.05259357605699194,0.8,thyroid
24,24.0,14515200.0,0.459958932238193,0.0033757103471521747,0.01698100500921863,0.19700139482981988,0.01106192500245484,0.010606121634972,0.05501863426110313,0.8,thyroid
25,25.0,15120000.0,0.4791238877481177,0.0036221797583094054,0.017999958942077794,0.2052230628764573,0.0118307799740764,0.011261359831091038,0.05745538649586643,0.8,thyroid
26,26.0,15724800.0,0.49828884325804246,0.003877198456611333,0.019043962306562683,0.21344615501626246,0.012624299949837874,0.011933933452980551,0.05990385270514015,0.8,thyroid
27,27.0,16329600.0,0.5174537987679672,0.004140776533864011,0.020113031707454865,0.22167071324966528,0.013442489202018763,0.012623874288474588,0.062364052905857684,0.8,thyroid
28,28.0,16934400.0,0.5366187542778919,0.004412924139767838,0.021207183877673348,0.22989677961315577,0.01428535212889986,0.013331214218726238,0.06483600718817102,0.8,thyroid
29,29.0,17539200.0,0.5557837097878165,0.004693651482000282,0.022326435678445743,0.2381243961795034,0.01515289325487143,0.014055985218434701,0.06731973571559471,0.8,thyroid
30,30.0,18144000.0,0.5749486652977412,0.004982968826298928,0.023470804099480165,0.2463536050579767,0.01604511723054204,0.014798219356072947,0.06981525872515036,0.8,thyroid
31,31.0,18748800.0,0.5941136208076659,0.005280886496544865,0.024640306259137844,0.25458444839456335,0.016962028832848072,0.015557948794115959,0.07232259652751137,0.8,thyroid
32,32.0,19353600.0,0.6132785763175906,0.005587414874846411,0.025834959404606436,0.2628169683721903,0.017903632965163865,0.016335205789269575,0.07484176950714833,0.8,thyroid
33,33.0,19958400.0,0.6324435318275154,0.005902564401623161,0.027054780912074066,0.2710512072109448,0.018869934657412536,0.01713002269269991,0.07737279812247473,0.8,thyroid
34,34.0,20563200.0,0.6516084873374401,0.00622634557569038,0.028299788286904083,0.2792872071682949,0.01986093906617747,0.01794243195026339,0.07991570290599326,0.8,thyroid
35,35.0,21168000.0,0.6707734428473648,0.006558768954343731,0.029569999163810534,0.28752501053931134,0.020876651474814458,0.018772466102737372,0.08247050446444228,0.8,thyroid
36,36.0,21772800.0,0.6899383983572895,0.006899845153444336,0.030865431307034355,0.2957646596568889,0.021917077293564492,0.019620157786051348,0.08503722347894321,0.8,thyroid
37,37.0,22377600.0,0.7091033538672142,0.007249584847504175,0.03218610261052028,0.3040061968919685,0.02298222205966726,0.02048553973151878,0.08761588070514778,0.8,thyroid
38,38.0,22982400.0,0.7282683093771389,0.007607998769771828,0.0335320310980945,0.3122496646537597,0.024072091437475268,0.021368644766069506,0.09020649697338634,0.8,thyroid
39,39.0,23587200.0,0.7474332648870636,0.007975097712318548,0.034903234923642994,0.32049510538996323,0.02518669121856865,0.022269505812482753,0.09280909318881611,0.8,thyroid
40,40.0,24192000.0,0.7665982203969883,0.008350892526124677,0.036299732371290645,0.3287425615869943,0.02632602732187064,0.023188155889620775,0.09542369033157018,0.8,thyroid
41,41.0,24796800.0,0.785763175906913,0.008735394121166407,0.03772154185558104,0.3369920757702058,0.027490105793763722,0.024124628112663065,0.09805030945690699,0.8,thyroid
42,42.0,25401600.0,0.8049281314168378,0.00912861346650287,0.03916868192165702,0.34524369050411224,0.02867893280820644,0.02507895569334119,0.10068897169536,0.8,thyroid
43,43.0,26006400.0,0.8240930869267625,0.009530561590363577,0.040641171245441934,0.35349744839261377,0.02989251466685088,0.02605117194017424,0.10333969825288813,0.8,thyroid
44,44.0,26611200.0,0.8432580424366872,0.009941249580236204,0.04213902863382168,0.3617533920792208,0.031130857799160822,0.027041310258704866,0.10600251041102646,0.8,thyroid
45,45.0,27216000.0,0.8624229979466119,0.010360688582954702,0.0436622730248274,0.37001156424727866,0.03239396876253059,0.028049404151735954,0.10867742952703746,0.8,thyroid
46,46.0,27820800.0,0.8815879534565366,0.010788889804787772,0.04521092348781898,0.3782720076201929,0.033681854242404524,0.029075487219567885,0.11136447703406271,0.8,thyroid
47,47.0,28425600.0,0.9007529089664613,0.011225864511527675,0.04678499922366924,0.3865347649616549,0.034994521052397205,0.03011959316023644,0.11406367444127495,0.8,thyroid
48,48.0,29030400.0,0.919917864476386,0.011671624028579372,0.04838451956494888,0.39479987907586755,0.03633197613441427,0.03118175576975128,0.1167750433340308,0.8,thyroid
49,49.0,29635200.0,0.9390828199863107,0.01212617974105004,0.05000950397611217,0.4030673928077717,0.037694226558773976,0.03226200894233509,0.11949860537402375,0.8,thyroid
50,50.0,30240000.0,0.9582477754962354,0.012589543093838904,0.05165997205368335,0.4113373490432728,0.03908127952432939,0.033360386670663295,0.12223438229943784,0.8,thyroid
